pair_id,variant,plain_size,transformed_size,encrypt_ns,hash_ns,send_ns,send_ts_us
0,0,128,0,0,0,66342,1763725854311717
0,1,128,256,2993914,0,16783,1763725854314736
1,0,128,0,0,0,8339,1763725854315041
1,1,128,256,65827,0,5815,1763725854315117
2,0,128,0,0,0,6113,1763725854315392
2,1,128,256,62014,0,5341,1763725854315463
3,0,128,0,0,0,5975,1763725854315737
3,1,128,256,58419,0,4915,1763725854315803
4,0,128,0,0,0,5747,1763725854316088
4,1,128,256,57047,0,4960,1763725854316153
5,0,128,0,0,0,5290,1763725854316425
5,1,128,256,56413,0,5147,1763725854316490
6,0,128,0,0,0,5345,1763725854316777
6,1,128,256,56613,0,5184,1763725854316842
7,0,128,0,0,0,46988,1763725854317228
7,1,128,256,147198,0,14753,1763725854317396
8,0,128,0,0,0,15303,1763725854317709
8,1,128,256,123476,0,10898,1763725854317847
9,0,128,0,0,0,12585,1763725854318152
9,1,128,256,122377,0,10642,1763725854318289
10,0,128,0,0,0,11816,1763725854318580
10,1,128,256,120607,0,10013,1763725854318714
11,0,128,0,0,0,11647,1763725854318989
11,1,128,256,120004,0,10393,1763725854319123
12,0,128,0,0,0,10852,1763725854319412
12,1,128,256,119725,0,10164,1763725854319545
13,0,128,0,0,0,16317,1763725854319843
13,1,128,256,138959,0,54578,1763725854320043
14,0,128,0,0,0,49432,1763725854320407
14,1,128,256,93835,0,8536,1763725854320515
15,0,128,0,0,0,6382,1763725854320794
15,1,128,256,62486,0,6056,1763725854320865
16,0,128,0,0,0,28003,1763725854321180
16,1,128,256,142038,0,13132,1763725854321340
17,0,128,0,0,0,25641,1763725854321662
17,1,128,256,145294,0,63447,1763725854321876
18,0,128,0,0,0,16279,1763725854322182
18,1,128,256,142725,0,13455,1763725854322343
19,0,128,0,0,0,18260,1763725854322665
19,1,128,256,147297,0,20735,1763725854322838
20,0,128,0,0,0,17892,1763725854323142
20,1,128,256,146084,0,12604,1763725854323305
21,0,128,0,0,0,11180,1763725854323601
21,1,128,256,132302,0,11474,1763725854323749
22,0,128,0,0,0,12627,1763725854324041
22,1,128,256,129770,0,10472,1763725854324185
23,0,128,0,0,0,12477,1763725854324476
23,1,128,256,128205,0,10574,1763725854324619
24,0,128,0,0,0,12822,1763725854324924
24,1,128,256,139390,0,107039,1763725854325175
25,0,128,0,0,0,31223,1763725854325499
25,1,128,256,70927,0,5761,1763725854325582
26,0,128,0,0,0,5647,1763725854325858
26,1,128,256,48864,0,4946,1763725854325914
27,0,128,0,0,0,6900,1763725854326190
27,1,128,256,47413,0,5791,1763725854326246
28,0,128,0,0,0,7217,1763725854326521
28,1,128,256,48076,0,4985,1763725854326577
29,0,128,0,0,0,6104,1763725854326860
29,1,128,256,50465,0,4870,1763725854326918
30,0,128,0,0,0,5324,1763725854327190
30,1,128,256,50254,0,4421,1763725854327247
31,0,128,0,0,0,5659,1763725854327519
31,1,128,256,50432,0,4878,1763725854327576
32,0,128,0,0,0,5364,1763725854327848
32,1,128,256,54740,0,5406,1763725854327911
33,0,128,0,0,0,7488,1763725854328190
33,1,128,256,60253,0,9326,1763725854328263
34,0,128,0,0,0,8819,1763725854328557
34,1,128,256,60612,0,6151,1763725854328627
35,0,128,0,0,0,6358,1763725854328905
35,1,128,256,75496,0,8570,1763725854328993
36,0,128,0,0,0,7266,1763725854329276
36,1,128,256,63424,0,6198,1763725854329349
37,0,128,0,0,0,7014,1763725854329629
37,1,128,256,62497,0,6865,1763725854329701
38,0,128,0,0,0,6979,1763725854329985
38,1,128,256,61605,0,6052,1763725854330056
39,0,128,0,0,0,6483,1763725854330346
39,1,128,256,66740,0,6541,1763725854330422
40,0,128,0,0,0,6420,1763725854330699
40,1,128,256,66220,0,6063,1763725854330775
41,0,128,0,0,0,7964,1763725854331052
41,1,128,256,61326,0,5338,1763725854331122
42,0,128,0,0,0,6216,1763725854331396
42,1,128,256,61220,0,4997,1763725854331465
43,0,128,0,0,0,9102,1763725854331775
43,1,128,256,56798,0,4924,1763725854331839
44,0,128,0,0,0,6291,1763725854332114
44,1,128,256,63577,0,7026,1763725854332188
45,0,128,0,0,0,5076,1763725854332462
45,1,128,256,52862,0,4507,1763725854332522
46,0,128,0,0,0,4965,1763725854332792
46,1,128,256,49465,0,3950,1763725854332848
47,0,128,0,0,0,4663,1763725854333119
47,1,128,256,47046,0,4146,1763725854333172
48,0,128,0,0,0,4996,1763725854333450
48,1,128,256,46505,0,4093,1763725854333503
49,0,128,0,0,0,4119,1763725854333770
49,1,128,256,45287,0,4299,1763725854333822
50,0,128,0,0,0,4632,1763725854334092
50,1,128,256,46768,0,4031,1763725854334146
51,0,128,0,0,0,4655,1763725854334415
51,1,128,256,46710,0,4186,1763725854334468
52,0,128,0,0,0,4727,1763725854334738
52,1,128,256,47261,0,4732,1763725854334792
53,0,128,0,0,0,6185,1763725854335074
53,1,128,256,53926,0,5092,1763725854335136
54,0,128,0,0,0,5542,1763725854335408
54,1,128,256,53001,0,4719,1763725854335468
55,0,128,0,0,0,5305,1763725854335741
55,1,128,256,52838,0,4446,1763725854335801
56,0,128,0,0,0,8563,1763725854336080
56,1,128,256,67857,0,7727,1763725854336158
57,0,128,0,0,0,6491,1763725854336436
57,1,128,256,54712,0,5800,1763725854336500
58,0,128,0,0,0,6967,1763725854336786
58,1,128,256,55478,0,4828,1763725854336849
59,0,128,0,0,0,7127,1763725854337123
59,1,128,256,56300,0,4957,1763725854337187
60,0,128,0,0,0,5277,1763725854337459
60,1,128,256,56825,0,4956,1763725854337524
61,0,128,0,0,0,5648,1763725854337797
61,1,128,256,56571,0,4680,1763725854337861
62,0,128,0,0,0,6069,1763725854338135
62,1,128,256,56592,0,4996,1763725854338199
63,0,128,0,0,0,5470,1763725854338482
63,1,128,256,56633,0,4811,1763725854338546
64,0,128,0,0,0,5383,1763725854338820
64,1,128,256,56536,0,4741,1763725854338884
65,0,128,0,0,0,5364,1763725854339157
65,1,128,256,56941,0,4935,1763725854339222
66,0,128,0,0,0,5641,1763725854339494
66,1,128,256,56297,0,4817,1763725854339558
67,0,128,0,0,0,5072,1763725854339833
67,1,128,256,56671,0,4867,1763725854339897
68,0,128,0,0,0,51029,1763725854340362
68,1,128,256,103436,0,8683,1763725854340481
69,0,128,0,0,0,6866,1763725854340787
69,1,128,256,60541,0,5635,1763725854340856
70,0,128,0,0,0,6570,1763725854341133
70,1,128,256,61414,0,5735,1763725854341204
71,0,128,0,0,0,5729,1763725854341479
71,1,128,256,61278,0,5604,1763725854341548
72,0,128,0,0,0,6011,1763725854341825
72,1,128,256,61336,0,5960,1763725854341894
73,0,128,0,0,0,6149,1763725854342184
73,1,128,256,60914,0,5030,1763725854342253
74,0,128,0,0,0,6045,1763725854342528
74,1,128,256,61142,0,5617,1763725854342597
75,0,128,0,0,0,6103,1763725854342873
75,1,128,256,60865,0,5605,1763725854342942
76,0,128,0,0,0,5843,1763725854343218
76,1,128,256,60799,0,5544,1763725854343288
77,0,128,0,0,0,5874,1763725854343563
77,1,128,256,61003,0,5117,1763725854343632
78,0,128,0,0,0,8868,1763725854343923
78,1,128,256,82227,0,6709,1763725854344015
79,0,128,0,0,0,6731,1763725854344297
79,1,128,256,72282,0,6080,1763725854344379
80,0,128,0,0,0,6651,1763725854344659
80,1,128,256,72043,0,6913,1763725854344757
81,0,128,0,0,0,12874,1763725854345055
81,1,128,256,75212,0,6974,1763725854345140
82,0,128,0,0,0,6813,1763725854345438
82,1,128,256,72457,0,6285,1763725854345521
83,0,128,0,0,0,6998,1763725854345800
83,1,128,256,72227,0,6670,1763725854345882
84,0,128,0,0,0,7335,1763725854346163
84,1,128,256,71722,0,5880,1763725854346244
85,0,128,0,0,0,6269,1763725854346521
85,1,128,256,66494,0,5943,1763725854346608
86,0,128,0,0,0,6568,1763725854346886
86,1,128,256,65983,0,12851,1763725854346968
87,0,128,0,0,0,7298,1763725854347265
87,1,128,256,72159,0,7939,1763725854347349
88,0,128,0,0,0,7979,1763725854347633
88,1,128,256,72012,0,6346,1763725854347715
89,0,128,0,0,0,7599,1763725854347983
89,1,128,256,71979,0,6762,1763725854348065
90,0,128,0,0,0,54811,1763725854348423
90,1,128,256,197964,0,17747,1763725854348647
91,0,128,0,0,0,26597,1763725854348978
91,1,128,256,156655,0,14439,1763725854349154
92,0,128,0,0,0,14385,1763725854349469
92,1,128,256,152909,0,12969,1763725854349640
93,0,128,0,0,0,13343,1763725854349938
93,1,128,256,164589,0,14036,1763725854350121
94,0,128,0,0,0,12802,1763725854350420
94,1,128,256,155076,0,13931,1763725854350594
95,0,128,0,0,0,13817,1763725854350896
95,1,128,256,174980,0,13642,1763725854351089
96,0,128,0,0,0,13758,1763725854351390
96,1,128,256,166544,0,13370,1763725854351575
97,0,128,0,0,0,17634,1763725854351896
97,1,128,256,179766,0,13988,1763725854352095
98,0,128,0,0,0,14410,1763725854352397
98,1,128,256,189896,0,15021,1763725854352607
99,0,128,0,0,0,15543,1763725854352915
99,1,128,256,198178,0,14744,1763725854353133
100,0,128,0,0,0,15249,1763725854353439
100,1,128,256,184950,0,14326,1763725854353643
101,0,128,0,0,0,14886,1763725854353948
101,1,128,256,194276,0,14846,1763725854354162
102,0,128,0,0,0,19261,1763725854354487
102,1,128,256,184747,0,14873,1763725854354691
103,0,128,0,0,0,15156,1763725854355005
103,1,128,256,166658,0,13179,1763725854355189
104,0,128,0,0,0,14582,1763725854355491
104,1,128,256,166332,0,12958,1763725854355675
105,0,128,0,0,0,14818,1763725854355983
