pair_id,variant,plain_size,transformed_size,recv_ts_us,payload_bytes
34092,4,128,32,1763725903379392,32
34093,0,128,0,1763725903379414,128
34093,4,128,32,1763725903379417,32
34094,0,128,0,1763725903379420,128
34094,4,128,32,1763725903379424,32
34095,0,128,0,1763725903379426,128
34095,4,128,32,1763725903379429,32
34096,0,128,0,1763725903379432,128
34096,4,128,32,1763725903379435,32
34097,0,128,0,1763725903379437,128
34097,4,128,32,1763725903379440,32
34098,0,128,0,1763725903379443,128
34098,4,128,32,1763725903379446,32
34099,0,128,0,1763725903379449,128
34099,4,128,32,1763725903379451,32
34100,0,128,0,1763725903379454,128
34100,4,128,32,1763725903379457,32
34101,0,128,0,1763725903379459,128
34101,4,128,32,1763725903379462,32
34102,0,128,0,1763725903379465,128
34102,4,128,32,1763725903379468,32
34103,0,128,0,1763725903379471,128
34103,4,128,32,1763725903379475,32
34104,0,128,0,1763725903379478,128
34104,4,128,32,1763725903379480,32
34105,0,128,0,1763725903379483,128
34105,4,128,32,1763725903379486,32
34106,0,128,0,1763725903379490,128
34106,4,128,32,1763725903379493,32
34107,0,128,0,1763725903379496,128
34107,4,128,32,1763725903379505,32
34108,0,128,0,1763725903379508,128
34108,4,128,32,1763725903379512,32
34109,0,128,0,1763725903379515,128
34109,4,128,32,1763725903379519,32
34110,0,128,0,1763725903379523,128
34110,4,128,32,1763725903379526,32
34111,0,128,0,1763725903379530,128
34111,4,128,32,1763725903379534,32
34112,0,128,0,1763725903379537,128
34112,4,128,32,1763725903379540,32
34113,0,128,0,1763725903379544,128
34113,4,128,32,1763725903379552,32
34114,0,128,0,1763725903379555,128
34114,4,128,32,1763725903379559,32
34115,0,128,0,1763725903379564,128
34115,4,128,32,1763725903379568,32
34116,0,128,0,1763725903379572,128
34116,4,128,32,1763725903379576,32
34117,0,128,0,1763725903379579,128
34117,4,128,32,1763725903379583,32
34118,0,128,0,1763725903379586,128
34118,4,128,32,1763725903379589,32
34119,0,128,0,1763725903379593,128
34119,4,128,32,1763725903379596,32
34120,0,128,0,1763725903379600,128
34120,4,128,32,1763725903379604,32
34121,0,128,0,1763725903379608,128
34121,4,128,32,1763725903379611,32
34122,0,128,0,1763725903379615,128
34122,4,128,32,1763725903379619,32
34123,0,128,0,1763725903379623,128
34123,4,128,32,1763725903379626,32
34124,0,128,0,1763725903379630,128
34124,4,128,32,1763725903379634,32
34125,0,128,0,1763725903379637,128
34125,4,128,32,1763725903379642,32
34126,0,128,0,1763725903379646,128
34126,4,128,32,1763725903379650,32
34127,0,128,0,1763725903379656,128
34127,4,128,32,1763725903379660,32
34128,0,128,0,1763725903379663,128
34128,4,128,32,1763725903379667,32
34129,0,128,0,1763725903379670,128
34129,4,128,32,1763725903379674,32
34130,0,128,0,1763725903379678,128
34130,4,128,32,1763725903379681,32
34131,0,128,0,1763725903379684,128
34131,4,128,32,1763725903379688,32
34132,0,128,0,1763725903379692,128
34132,4,128,32,1763725903379695,32
34133,0,128,0,1763725903379699,128
34133,4,128,32,1763725903379703,32
34134,0,128,0,1763725903379706,128
34134,4,128,32,1763725903379710,32
34135,0,128,0,1763725903379713,128
34135,4,128,32,1763725903379717,32
34136,0,128,0,1763725903379720,128
34136,4,128,32,1763725903379724,32
34137,0,128,0,1763725903379727,128
34137,4,128,32,1763725903379731,32
34138,0,128,0,1763725903379735,128
34299,0,128,0,1763725903380051,128
34299,4,128,32,1763725903380080,32
34300,0,128,0,1763725903380246,128
34300,4,128,32,1763725903380264,32
34301,0,128,0,1763725903380271,128
34301,4,128,32,1763725903380276,32
34302,0,128,0,1763725903380281,128
34302,4,128,32,1763725903380286,32
34303,0,128,0,1763725903380290,128
34303,4,128,32,1763725903380295,32
34304,0,128,0,1763725903380300,128
34304,4,128,32,1763725903380304,32
34305,0,128,0,1763725903380309,128
34305,4,128,32,1763725903380313,32
34306,0,128,0,1763725903380318,128
34306,4,128,32,1763725903380330,32
34307,0,128,0,1763725903380370,128
34307,4,128,32,1763725903380381,32
34308,0,128,0,1763725903380392,128
34308,4,128,32,1763725903380400,32
34309,0,128,0,1763725903380405,128
34309,4,128,32,1763725903380410,32
34310,0,128,0,1763725903380415,128
34310,4,128,32,1763725903380423,32
34311,0,128,0,1763725903380430,128
34311,4,128,32,1763725903380438,32
34312,0,128,0,1763725903380442,128
34312,4,128,32,1763725903380449,32
34313,0,128,0,1763725903380454,128
34313,4,128,32,1763725903380460,32
34314,0,128,0,1763725903380466,128
34314,4,128,32,1763725903380474,32
34315,0,128,0,1763725903380776,128
34315,4,128,32,1763725903380797,32
34316,0,128,0,1763725903380804,128
34316,4,128,32,1763725903380809,32
34317,0,128,0,1763725903380814,128
34317,4,128,32,1763725903380819,32
34318,0,128,0,1763725903380824,128
34318,4,128,32,1763725903380829,32
34319,0,128,0,1763725903380833,128
34319,4,128,32,1763725903380842,32
34320,0,128,0,1763725903380849,128
34320,4,128,32,1763725903380856,32
34321,0,128,0,1763725903380864,128
34321,4,128,32,1763725903380871,32
34322,0,128,0,1763725903380878,128
34322,4,128,32,1763725903380885,32
34323,0,128,0,1763725903380892,128
34323,4,128,32,1763725903380901,32
34324,0,128,0,1763725903380907,128
34324,4,128,32,1763725903380914,32
34325,0,128,0,1763725903380922,128
34325,4,128,32,1763725903380929,32
34326,0,128,0,1763725903380935,128
34326,4,128,32,1763725903380942,32
34327,0,128,0,1763725903380948,128
34327,4,128,32,1763725903380955,32
34328,0,128,0,1763725903380962,128
34328,4,128,32,1763725903380968,32
34329,0,128,0,1763725903380974,128
34329,4,128,32,1763725903380981,32
34330,0,128,0,1763725903380993,128
34330,4,128,32,1763725903380999,32
34331,0,128,0,1763725903381006,128
34331,4,128,32,1763725903381014,32
34332,0,128,0,1763725903381438,128
34332,4,128,32,1763725903381465,32
34333,0,128,0,1763725903381474,128
34333,4,128,32,1763725903381481,32
34334,0,128,0,1763725903381486,128
34334,4,128,32,1763725903381493,32
34335,0,128,0,1763725903381500,128
34335,4,128,32,1763725903381505,32
34336,0,128,0,1763725903381511,128
34336,4,128,32,1763725903381520,32
34337,0,128,0,1763725903381528,128
34337,4,128,32,1763725903381535,32
34338,0,128,0,1763725903381540,128
34338,4,128,32,1763725903381547,32
34339,0,128,0,1763725903381554,128
34339,4,128,32,1763725903381559,32
34340,0,128,0,1763725903381566,128
34340,4,128,32,1763725903381574,32
34341,0,128,0,1763725903381583,128
34341,4,128,32,1763725903381589,32
34342,0,128,0,1763725903381594,128
34342,4,128,32,1763725903381600,32
34343,0,128,0,1763725903381606,128
34343,4,128,32,1763725903381611,32
34344,0,128,0,1763725903381617,128
34344,4,128,32,1763725903381623,32
34345,0,128,0,1763725903381628,128
34345,4,128,32,1763725903381666,32
34346,0,128,0,1763725903381675,128
34346,4,128,32,1763725903381681,32
34347,0,128,0,1763725903381687,128
34347,4,128,32,1763725903381692,32
34348,0,128,0,1763725903381698,128
34348,4,128,32,1763725903381704,32
34349,0,128,0,1763725903381710,128
34349,4,128,32,1763725903381731,32
34350,0,128,0,1763725903381739,128
34350,4,128,32,1763725903381745,32
34351,0,128,0,1763725903381750,128
34351,4,128,32,1763725903381776,32
34352,0,128,0,1763725903381784,128
34352,4,128,32,1763725903381798,32
34353,0,128,0,1763725903381806,128
34353,4,128,32,1763725903381812,32
34354,0,128,0,1763725903381818,128
34354,4,128,32,1763725903381857,32
34355,0,128,0,1763725903381864,128
34355,4,128,32,1763725903381869,32
34356,0,128,0,1763725903381875,128
34356,4,128,32,1763725903381975,32
34357,0,128,0,1763725903381983,128
34357,4,128,32,1763725903381990,32
34358,0,128,0,1763725903381997,128
34358,4,128,32,1763725903382002,32
34359,0,128,0,1763725903382009,128
34359,4,128,32,1763725903382015,32
34360,0,128,0,1763725903382023,128
34360,4,128,32,1763725903382029,32
34361,0,128,0,1763725903382036,128
34361,4,128,32,1763725903382043,32
34362,0,128,0,1763725903382049,128
34362,4,128,32,1763725903382056,32
34363,0,128,0,1763725903382065,128
34363,4,128,32,1763725903382104,32
34364,0,128,0,1763725903382112,128
34364,4,128,32,1763725903382119,32
34365,0,128,0,1763725903382126,128
34365,4,128,32,1763725903382133,32
34366,0,128,0,1763725903382140,128
34366,4,128,32,1763725903382312,32
34367,0,128,0,1763725903382321,128
34367,4,128,32,1763725903382328,32
34368,0,128,0,1763725903382335,128
34368,4,128,32,1763725903382760,32
34369,0,128,0,1763725903382769,128
34369,4,128,32,1763725903382775,32
34370,0,128,0,1763725903382779,128
34370,4,128,32,1763725903382785,32
34371,0,128,0,1763725903382791,128
34371,4,128,32,1763725903383217,32
34372,0,128,0,1763725903383418,128
34372,4,128,32,1763725903383425,32
34373,0,128,0,1763725903383430,128
34373,4,128,32,1763725903383438,32
34374,0,128,0,1763725903383918,128
34374,4,128,32,1763725903383925,32
34375,0,128,0,1763725903384106,128
34375,4,128,32,1763725903384113,32
34376,0,128,0,1763725903384507,128
34376,4,128,32,1763725903384514,32
34377,0,128,0,1763725903384701,128
34377,4,128,32,1763725903384709,32
34378,0,128,0,1763725903385202,128
34378,4,128,32,1763725903385210,32
34379,0,128,0,1763725903385368,128
34379,4,128,32,1763725903385376,32
34380,0,128,0,1763725903385818,128
34380,4,128,32,1763725903385826,32
34381,0,128,0,1763725903385987,128
34381,4,128,32,1763725903385995,32
34382,0,128,0,1763725903386780,128
34382,4,128,32,1763725903386790,32
34383,0,128,0,1763725903387256,128
34383,4,128,32,1763725903387265,32
34384,0,128,0,1763725903393292,128
34384,4,128,32,1763725903393351,32
34385,0,128,0,1763725903393359,128
34385,4,128,32,1763725903393383,32
34386,0,128,0,1763725903393390,128
34386,4,128,32,1763725903393396,32
34387,0,128,0,1763725903393401,128
34387,4,128,32,1763725903393407,32
34388,0,128,0,1763725903393416,128
34388,4,128,32,1763725903393425,32
34389,0,128,0,1763725903393431,128
34389,4,128,32,1763725903393436,32
34390,0,128,0,1763725903393442,128
34390,4,128,32,1763725903393452,32
34391,0,128,0,1763725903393458,128
34391,4,128,32,1763725903393471,32
34392,0,128,0,1763725903393477,128
34392,4,128,32,1763725903393485,32
34393,0,128,0,1763725903393491,128
34393,4,128,32,1763725903393496,32
34394,0,128,0,1763725903393502,128
34394,4,128,32,1763725903393507,32
34395,0,128,0,1763725903393515,128
34395,4,128,32,1763725903393521,32
34396,0,128,0,1763725903393529,128
34396,4,128,32,1763725903393534,32
34397,0,128,0,1763725903393542,128
34397,4,128,32,1763725903393547,32
34398,0,128,0,1763725903393555,128
34398,4,128,32,1763725903393560,32
34399,0,128,0,1763725903393566,128
34399,4,128,32,1763725903393574,32
34400,0,128,0,1763725903393582,128
34400,4,128,32,1763725903393588,32
34401,0,128,0,1763725903393996,128
34401,4,128,32,1763725903394053,32
34402,0,128,0,1763725903394061,128
34402,4,128,32,1763725903394067,32
34403,0,128,0,1763725903394073,128
34403,4,128,32,1763725903394080,32
34404,0,128,0,1763725903394663,128
34404,4,128,32,1763725903394729,32
34405,0,128,0,1763725903398681,128
34405,4,128,32,1763725903398731,32
34406,0,128,0,1763725903398830,128
34406,4,128,32,1763725903398871,32
34407,0,128,0,1763725903398878,128
34407,4,128,32,1763725903398883,32
34408,0,128,0,1763725903398889,128
34408,4,128,32,1763725903398894,32
34409,0,128,0,1763725903398900,128
34409,4,128,32,1763725903398908,32
34410,0,128,0,1763725903398918,128
34410,4,128,32,1763725903398925,32
34411,0,128,0,1763725903398932,128
34411,4,128,32,1763725903398938,32
34412,0,128,0,1763725903398947,128
34412,4,128,32,1763725903398954,32
34413,0,128,0,1763725903398963,128
34413,4,128,32,1763725903398970,32
34414,0,128,0,1763725903398978,128
34414,4,128,32,1763725903398987,32
34415,0,128,0,1763725903398993,128
34415,4,128,32,1763725903399000,32
34416,0,128,0,1763725903399012,128
34416,4,128,32,1763725903399019,32
34417,0,128,0,1763725903399027,128
34417,4,128,32,1763725903399035,32
34418,0,128,0,1763725903399043,128
34418,4,128,32,1763725903399050,32
34419,0,128,0,1763725903399058,128
34419,4,128,32,1763725903399067,32
34420,0,128,0,1763725903399075,128
34420,4,128,32,1763725903399081,32
34421,0,128,0,1763725903399088,128
34421,4,128,32,1763725903399375,32
34422,0,128,0,1763725903399387,128
34422,4,128,32,1763725903399858,32
34423,0,128,0,1763725903399880,128
34423,4,128,32,1763725903400582,32
34424,0,128,0,1763725903413071,128
34424,4,128,32,1763725903413116,32
34425,0,128,0,1763725903413122,128
34425,4,128,32,1763725903413127,32
34426,0,128,0,1763725903413132,128
34426,4,128,32,1763725903413139,32
34427,0,128,0,1763725903413144,128
34427,4,128,32,1763725903413149,32
34428,0,128,0,1763725903413154,128
34428,4,128,32,1763725903413158,32
34429,0,128,0,1763725903413163,128
34429,4,128,32,1763725903413168,32
34430,0,128,0,1763725903413173,128
34430,4,128,32,1763725903413178,32
34431,0,128,0,1763725903413182,128
34431,4,128,32,1763725903413187,32
34432,0,128,0,1763725903413192,128
34432,4,128,32,1763725903413197,32
34433,0,128,0,1763725903413202,128
34433,4,128,32,1763725903413207,32
34434,0,128,0,1763725903413313,128
34434,4,128,32,1763725903413333,32
34435,0,128,0,1763725903413342,128
34435,4,128,32,1763725903413351,32
34436,0,128,0,1763725903413377,128
34436,4,128,32,1763725903413385,32
34437,0,128,0,1763725903413391,128
34437,4,128,32,1763725903413399,32
34438,0,128,0,1763725903413409,128
34438,4,128,32,1763725903413425,32
34439,0,128,0,1763725903413430,128
34439,4,128,32,1763725903413437,32
34440,0,128,0,1763725903413444,128
34440,4,128,32,1763725903413452,32
34441,0,128,0,1763725903413832,128
34441,4,128,32,1763725903413877,32
34442,0,128,0,1763725903413884,128
34442,4,128,32,1763725903413889,32
34443,0,128,0,1763725903413894,128
34443,4,128,32,1763725903413898,32
34444,0,128,0,1763725903413904,128
34444,4,128,32,1763725903413908,32
34445,0,128,0,1763725903413913,128
34445,4,128,32,1763725903413918,32
34446,0,128,0,1763725903413923,128
34446,4,128,32,1763725903413928,32
34447,0,128,0,1763725903413932,128
34447,4,128,32,1763725903413937,32
34448,0,128,0,1763725903413942,128
34448,4,128,32,1763725903413947,32
34449,0,128,0,1763725903413951,128
34449,4,128,32,1763725903413956,32
34450,0,128,0,1763725903413961,128
34450,4,128,32,1763725903413965,32
34451,0,128,0,1763725903413971,128
34451,4,128,32,1763725903413977,32
34452,0,128,0,1763725903413985,128
34452,4,128,32,1763725903413990,32
34453,0,128,0,1763725903413999,128
34453,4,128,32,1763725903414003,32
34454,0,128,0,1763725903414010,128
34454,4,128,32,1763725903414018,32
34455,0,128,0,1763725903414025,128
34455,4,128,32,1763725903414032,32
34456,0,128,0,1763725903414042,128
34456,4,128,32,1763725903414050,32
34457,0,128,0,1763725903414056,128
34457,4,128,32,1763725903414065,32
34458,0,128,0,1763725903414073,128
34458,4,128,32,1763725903414080,32
34459,0,128,0,1763725903414089,128
34459,4,128,32,1763725903414094,32
34460,0,128,0,1763725903414101,128
34460,4,128,32,1763725903414112,32
34461,0,128,0,1763725903414119,128
34461,4,128,32,1763725903414128,32
34462,0,128,0,1763725903414136,128
34462,4,128,32,1763725903414143,32
34463,0,128,0,1763725903414601,128
34463,4,128,32,1763725903414623,32
34464,0,128,0,1763725903414813,128
34464,4,128,32,1763725903414833,32
34465,0,128,0,1763725903414840,128
